model,rmse_full,mae_full,rmse_excovid,mae_excovid
bridge_pred,3.8338727009347684,1.9469401169294998,1.7692586896134623,1.298266546093292
dfm_pred,4.327797227007991,2.205027642032334,2.2356547393066384,1.5254544456530557
lstm_pred,7.098746175963661,3.4164959175000003,2.700666164465348,2.12230974
gdpnow,1.7874815311824013,1.4168113636363633,1.6875837465639052,1.3377261904761903
