model,rmse,mae,n
bridge_pred,3.8338727009347684,1.9469401169294998,44
dfm_pred,4.327797227007991,2.205027642032334,44
lstm_pred,7.098746175963661,3.4164959175000003,44
gdpnow,1.7874815311824013,1.4168113636363633,44
